Tissue,Cell Type,Cell Count,Tissue Composition,Disease,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,normal,842737,0.06%,normal,PHYHIP,1.641836777,0.088911763,6838
brain,normal,842737,0.00%,normal,RP11-745L13.2,1.565448836,0.060022755,357
brain,normal,2321738,0.51%,normal,SLC26A3,1.673848082,0.101018057,56665
brain,normal,2321738,0.12%,normal,RASGEF1B,1.685722407,0.105508785,13241
brain,normal,2321738,0.52%,normal,RP11-701H24.9,2.018282033,0.23127887,57289
brain,normal,2321738,0.02%,normal,LINGO3,1.617100035,0.079556623,1926
brain,normal,2321738,1.37%,normal,PDE4DIP,1.78674546,0.143714499,151864
brain,normal,2321738,0.23%,normal,AC159540.1,1.654239721,0.093602409,25698
brain,normal,2321738,0.00%,normal,RP11-289H16.1,1.519053323,0.042476525,70
brain,normal,2321738,0.01%,normal,RP11-219A15.1,1.752303905,0.130689114,799
brain,normal,2321738,0.00%,normal,LINC01609,1.583410219,0.066815536,172
brain,normal,2321738,0.64%,normal,PHYHIP,1.629349211,0.084189115,70645
brain,normal,2321738,0.01%,normal,RP11-745L13.2,1.551570282,0.054774051,662
brain,normal,288844,0.05%,normal,SLC26A3,1.974677672,0.214788221,5362
brain,normal,288844,0.39%,normal,RASGEF1B,2.246350771,0.317531747,43254
brain,normal,288844,,normal,RP11-701H24.9,,,
brain,normal,288844,0.27%,normal,LINGO3,1.959898786,0.209199022,30341
brain,normal,288844,0.18%,normal,PDE4DIP,2.071495842,0.251403698,19486
brain,normal,288844,0.11%,normal,AC159540.1,1.911155446,0.190764872,11779
brain,normal,288844,0.09%,normal,RP11-289H16.1,1.98613741,0.219122157,9473
brain,normal,288844,0.00%,normal,RP11-219A15.1,1.859358066,0.171175721,41
brain,normal,288844,0.02%,normal,LINC01609,1.933699095,0.199290612,2102
brain,normal,288844,0.01%,normal,PHYHIP,2.002071789,0.225148349,645
brain,normal,288844,0.02%,normal,RP11-745L13.2,1.916405845,0.192750511,2171
brain,normal,411,,normal,SLC26A3,,,
brain,normal,411,0.00%,normal,RASGEF1B,1.752064347,0.130598516,8
brain,normal,411,,normal,RP11-701H24.9,,,
brain,normal,411,,normal,LINGO3,,,
brain,normal,411,0.00%,normal,PDE4DIP,1.690133013,0.107176824,70
brain,normal,411,0.00%,normal,AC159540.1,1.636435151,0.086868933,4
brain,normal,411,,normal,RP11-289H16.1,,,
brain,normal,411,0.00%,normal,RP11-219A15.1,1.832645734,0.161073436,6
brain,normal,411,,normal,LINC01609,,,
brain,normal,411,0.00%,normal,PHYHIP,1.645170689,0.090172609,2
brain,normal,411,,normal,RP11-745L13.2,,,
brain,normal,2373,0.00%,normal,SLC26A3,1.881254005,0.179456504,5
brain,normal,2373,0.00%,normal,RASGEF1B,2.055112679,0.245207781,443
brain,normal,2373,,normal,RP11-701H24.9,,,
brain,normal,2373,0.00%,normal,LINGO3,1.748040199,0.129076631,8
brain,normal,2373,0.01%,normal,PDE4DIP,2.306384428,0.34023576,1458
brain,normal,2373,,normal,AC159540.1,,,
brain,normal,2373,,normal,RP11-289H16.1,,,
brain,normal,2373,,normal,RP11-219A15.1,,,
brain,normal,2373,,normal,LINC01609,,,
brain,normal,2373,0.00%,normal,PHYHIP,1.918768525,0.193644048,16
brain,normal,2373,,normal,RP11-745L13.2,,,
brain,normal,97869,0.03%,normal,SLC26A3,2.038499479,0.238924867,3848
brain,normal,97869,0.15%,normal,RASGEF1B,2.23837896,0.314516903,16391
brain,normal,97869,0.00%,normal,RP11-701H24.9,2.222875642,0.308653733,82
brain,normal,97869,0.01%,normal,LINGO3,2.053044149,0.244425488,677
brain,normal,97869,0.11%,normal,PDE4DIP,1.912282395,0.191191071,11977
brain,normal,97869,0.05%,normal,AC159540.1,1.756341487,0.132216079,5382
brain,normal,97869,0.08%,normal,RP11-289H16.1,1.972261799,0.213874566,8576
brain,normal,97869,0.01%,normal,RP11-219A15.1,1.602776321,0.074139564,674
brain,normal,97869,0.02%,normal,LINC01609,2.111412668,0.266499766,2547
brain,normal,97869,0.08%,normal,PHYHIP,1.832191216,0.160901542,8620
brain,normal,97869,0.01%,normal,RP11-745L13.2,1.931480362,0.198451513,1010
brain,normal,10918,0.00%,normal,SLC26A3,2.506503105,0.415918258,4
brain,normal,10918,0.00%,normal,RASGEF1B,2.450105309,0.394589284,394
brain,normal,10918,,normal,RP11-701H24.9,,,
brain,normal,10918,0.00%,normal,LINGO3,2.354005512,0.358245487,76
brain,normal,10918,,normal,PDE4DIP,,,
brain,normal,10918,0.00%,normal,AC159540.1,2.359563192,0.360347335,45
brain,normal,10918,,normal,RP11-289H16.1,,,
brain,normal,10918,,normal,RP11-219A15.1,,,
brain,normal,10918,0.00%,normal,LINC01609,2.282532374,0.331215198,9
brain,normal,10918,0.00%,normal,PHYHIP,2.439214124,0.390470368,285
brain,normal,10918,0.00%,normal,RP11-745L13.2,2.435203968,0.388953775,55
brain,normal,31684,0.00%,normal,SLC26A3,2.189451658,0.296013181,13
brain,normal,31684,0.00%,normal,RASGEF1B,2.182657437,0.293443688,323
brain,normal,31684,,normal,RP11-701H24.9,,,
brain,normal,31684,0.00%,normal,LINGO3,2.144697601,0.27908773,357
brain,normal,31684,,normal,PDE4DIP,,,
brain,normal,31684,0.00%,normal,AC159540.1,2.098273868,0.261530828,210
brain,normal,31684,,normal,RP11-289H16.1,,,
brain,normal,31684,,normal,RP11-219A15.1,,,
brain,normal,31684,0.00%,normal,LINC01609,2.108056386,0.26523046,18
brain,normal,31684,0.01%,normal,PHYHIP,2.189826289,0.296154862,948
brain,normal,31684,0.00%,normal,RP11-745L13.2,2.118043853,0.269007601,164
brain,normal,14938,0.00%,normal,SLC26A3,1.807632381,0.151613684,233
brain,normal,14938,0.00%,normal,RASGEF1B,1.611771393,0.077541393,50
brain,normal,14938,0.03%,normal,RP11-701H24.9,1.882297345,0.179851083,3652
brain,normal,14938,0.00%,normal,LINGO3,1.577376246,0.064533559,4
brain,normal,14938,0.00%,normal,PDE4DIP,1.521815726,0.043521233,506
brain,normal,14938,0.00%,normal,AC159540.1,1.603734016,0.074501754,6
brain,normal,14938,,normal,RP11-289H16.1,,,
brain,normal,14938,,normal,RP11-219A15.1,,,
brain,normal,14938,,normal,LINC01609,,,
brain,normal,14938,0.01%,normal,PHYHIP,1.639766098,0.088128657,609
brain,normal,14938,,normal,RP11-745L13.2,,,
brain,normal,6647,0.00%,normal,SLC26A3,1.881989699,0.179734735,78
brain,normal,6647,0.00%,normal,RASGEF1B,1.875833792,0.177406644,401
brain,normal,6647,,normal,RP11-701H24.9,,,
brain,normal,6647,0.00%,normal,LINGO3,1.785028648,0.143065222,5
brain,normal,6647,0.02%,normal,PDE4DIP,1.935789178,0.200081056,1727
brain,normal,6647,0.00%,normal,AC159540.1,1.588772869,0.068843626,5
brain,normal,6647,0.00%,normal,RP11-289H16.1,1.961793627,0.209915629,7
brain,normal,6647,,normal,RP11-219A15.1,,,
brain,normal,6647,0.00%,normal,LINC01609,1.884572249,0.180711424,13
brain,normal,6647,0.00%,normal,PHYHIP,1.871366313,0.175717097,335
brain,normal,6647,0.00%,normal,RP11-745L13.2,1.704461813,0.112595805,1
brain,normal,2161851,0.94%,normal,SLC26A3,2.115151832,0.267913873,103379
brain,normal,2161851,1.64%,normal,RASGEF1B,2.246368828,0.317538576,181355
brain,normal,2161851,0.30%,normal,RP11-701H24.9,1.895390072,0.184802596,32903
brain,normal,2161851,0.05%,normal,LINGO3,1.922930643,0.195218112,5026
brain,normal,2161851,1.94%,normal,PDE4DIP,1.920924608,0.194459453,214418
brain,normal,2161851,0.13%,normal,AC159540.1,1.818789325,0.155833107,13996
brain,normal,2161851,0.07%,normal,RP11-289H16.1,1.85058263,0.167856956,7381
brain,normal,2161851,0.08%,normal,RP11-219A15.1,1.875917132,0.177438162,9317
brain,normal,2161851,0.05%,normal,LINC01609,2.126500553,0.272205824,5073
brain,normal,2161851,0.26%,normal,PHYHIP,1.872518978,0.176153021,29014
brain,normal,2161851,0.09%,normal,RP11-745L13.2,1.828484122,0.159499563,9436
brain,Alzheimer disease,106165,0.39%,Alzheimer disease,SLC26A3,2.528636803,0.424288958,43544
brain,Alzheimer disease,106165,0.59%,Alzheimer disease,RASGEF1B,3.036011528,0.616172029,64777
brain,Alzheimer disease,106165,0.16%,Alzheimer disease,RP11-701H24.9,1.851667347,0.168267183,17641
brain,Alzheimer disease,106165,0.00%,Alzheimer disease,LINGO3,1.843311085,0.165106944,102
brain,Alzheimer disease,106165,0.36%,Alzheimer disease,PDE4DIP,2.225147496,0.309512922,40001
brain,Alzheimer disease,106165,0.06%,Alzheimer disease,AC159540.1,1.929746225,0.197795683,6868
brain,Alzheimer disease,106165,0.05%,Alzheimer disease,RP11-289H16.1,1.997837432,0.223546966,5819
brain,Alzheimer disease,106165,0.11%,Alzheimer disease,RP11-219A15.1,1.875281373,0.177197726,12321
brain,Alzheimer disease,106165,0.16%,Alzheimer disease,LINC01609,2.500047806,0.413476941,17813
brain,Alzheimer disease,106165,0.04%,Alzheimer disease,PHYHIP,1.998030393,0.223619941,4503
brain,Alzheimer disease,106165,0.05%,Alzheimer disease,RP11-745L13.2,1.914353549,0.191974357,6053
brain,normal,106758,0.07%,normal,SLC26A3,1.778051298,0.140426471,7754
brain,normal,106758,0.02%,normal,RASGEF1B,1.988060571,0.219849474,2487
brain,normal,106758,,normal,RP11-701H24.9,,,
brain,normal,106758,0.00%,normal,LINGO3,1.684259169,0.104955406,225
brain,normal,106758,0.29%,normal,PDE4DIP,1.755948782,0.132067563,31785
brain,normal,106758,0.00%,normal,AC159540.1,1.572713877,0.062770307,308
brain,normal,106758,0.00%,normal,RP11-289H16.1,1.561783959,0.058636742,17
brain,normal,106758,,normal,RP11-219A15.1,,,
brain,normal,106758,0.00%,normal,LINC01609,1.555225372,0.056156363,78
brain,normal,106758,0.01%,normal,PHYHIP,1.638593838,0.087685322,998
brain,normal,106758,0.00%,normal,RP11-745L13.2,1.579832077,0.065462325,44
brain,normal,508818,0.02%,normal,SLC26A3,1.597072065,0.071982283,2006
brain,normal,508818,0.10%,normal,RASGEF1B,1.713785008,0.116121726,10790
brain,normal,508818,0.00%,normal,RP11-701H24.9,1.712174892,0.1155128,6
brain,normal,508818,0.00%,normal,LINGO3,1.586846694,0.068115169,106
brain,normal,508818,0.06%,normal,PDE4DIP,1.713529147,0.116024963,7124
brain,normal,508818,0.02%,normal,AC159540.1,1.665344338,0.097802042,1837
brain,normal,508818,0.00%,normal,RP11-289H16.1,1.813424024,0.153804014,22
brain,normal,508818,0.00%,normal,RP11-219A15.1,1.782454936,0.142091874,360
brain,normal,508818,0.00%,normal,LINC01609,1.600667145,0.073341899,295
brain,normal,508818,0.00%,normal,PHYHIP,1.633689846,0.085830691,438
brain,normal,508818,0.01%,normal,RP11-745L13.2,1.736683782,0.12478177,1307
brain,normal,48079,,normal,SLC26A3,,,
brain,normal,48079,0.01%,normal,RASGEF1B,1.823099203,0.157463051,572
brain,normal,48079,,normal,RP11-701H24.9,,,
brain,normal,48079,0.00%,normal,LINGO3,1.731285453,0.122740186,8
brain,normal,48079,0.04%,normal,PDE4DIP,1.795964822,0.147201152,4016
brain,normal,48079,0.01%,normal,AC159540.1,1.725859517,0.120688162,962
brain,normal,48079,0.00%,normal,RP11-289H16.1,1.813424024,0.153804014,22
brain,normal,48079,0.00%,normal,RP11-219A15.1,1.782454936,0.142091874,360
brain,normal,48079,,normal,LINC01609,,,
brain,normal,48079,0.00%,normal,PHYHIP,1.779900381,0.141125772,107
brain,normal,48079,0.00%,normal,RP11-745L13.2,1.569151878,0.061423201,4
brain,normal,943266,0.50%,normal,SLC26A3,2.087752276,0.257551688,55792
brain,normal,943266,0.92%,normal,RASGEF1B,2.101513799,0.262756131,101704
brain,normal,943266,0.19%,normal,RP11-701H24.9,1.908395763,0.189721193,20815
brain,normal,943266,0.01%,normal,LINGO3,1.764103948,0.135151749,1568
brain,normal,943266,0.65%,normal,PDE4DIP,1.873619329,0.176569161,71659
brain,normal,943266,0.05%,normal,AC159540.1,1.826208229,0.158638848,5292
brain,normal,943266,0.02%,normal,RP11-289H16.1,1.883509331,0.180309441,2442
brain,normal,943266,0.06%,normal,RP11-219A15.1,1.88343077,0.180279731,6536
brain,normal,943266,0.02%,normal,LINC01609,2.173049824,0.289810203,2086
brain,normal,943266,0.13%,normal,PHYHIP,1.849920223,0.167606441,14753
brain,normal,943266,0.04%,normal,RP11-745L13.2,1.792137685,0.145753775,4158
brain,Alzheimer disease,56878,0.23%,Alzheimer disease,SLC26A3,2.477643718,0.405003982,25185
brain,Alzheimer disease,56878,0.35%,Alzheimer disease,RASGEF1B,2.95257997,0.584619209,38272
brain,Alzheimer disease,56878,0.11%,Alzheimer disease,RP11-701H24.9,1.855518009,0.169723457,11776
brain,Alzheimer disease,56878,0.00%,Alzheimer disease,LINGO3,1.787376149,0.143953018,30
brain,Alzheimer disease,56878,0.17%,Alzheimer disease,PDE4DIP,1.999491137,0.224172377,19145
brain,Alzheimer disease,56878,0.03%,Alzheimer disease,AC159540.1,1.93523438,0.199871238,3786
brain,Alzheimer disease,56878,0.03%,Alzheimer disease,RP11-289H16.1,1.909565763,0.190163673,2962
brain,Alzheimer disease,56878,0.08%,Alzheimer disease,RP11-219A15.1,1.87213186,0.176006618,8457
brain,Alzheimer disease,56878,0.08%,Alzheimer disease,LINC01609,2.480943767,0.406252021,9387
brain,Alzheimer disease,56878,0.02%,Alzheimer disease,PHYHIP,1.959777228,0.20915305,2626
brain,Alzheimer disease,56878,0.03%,Alzheimer disease,RP11-745L13.2,1.909972348,0.190317439,3218
brain,normal,1537512,0.83%,normal,SLC26A3,2.117064722,0.268637305,92138
brain,normal,1537512,1.41%,normal,RASGEF1B,2.264683177,0.324464844,155765
brain,normal,1537512,0.29%,normal,RP11-701H24.9,1.885151889,0.180930637,31532
brain,normal,1537512,0.03%,normal,LINGO3,1.955689766,0.207607221,3693
brain,normal,1537512,1.77%,normal,PDE4DIP,1.924506534,0.195814094,195834
brain,normal,1537512,0.10%,normal,AC159540.1,1.846108993,0.166165079,10789
brain,normal,1537512,0.05%,normal,RP11-289H16.1,1.875713388,0.177361109,5477
brain,normal,1537512,0.08%,normal,RP11-219A15.1,1.879163319,0.178665832,8441
brain,normal,1537512,0.04%,normal,LINC01609,2.160470389,0.285052811,4433
brain,normal,1537512,0.23%,normal,PHYHIP,1.858075312,0.170690599,25009
brain,normal,1537512,0.07%,normal,RP11-745L13.2,1.844421616,0.165526933,7199
brain,Alzheimer disease,81358,0.35%,Alzheimer disease,SLC26A3,2.51408372,0.418785156,38584
brain,Alzheimer disease,81358,0.52%,Alzheimer disease,RASGEF1B,3.020893532,0.610454583,57016
brain,Alzheimer disease,81358,0.15%,Alzheimer disease,RP11-701H24.9,1.850016247,0.167642756,16614
brain,Alzheimer disease,81358,0.00%,Alzheimer disease,LINGO3,1.859533088,0.171241912,43
brain,Alzheimer disease,81358,0.34%,Alzheimer disease,PDE4DIP,2.240927359,0.315480677,37378
brain,Alzheimer disease,81358,0.05%,Alzheimer disease,AC159540.1,1.923600221,0.195471338,5819
brain,Alzheimer disease,81358,0.04%,Alzheimer disease,RP11-289H16.1,1.910663293,0.190578746,4216
brain,Alzheimer disease,81358,0.10%,Alzheimer disease,RP11-219A15.1,1.871069845,0.175604976,11030
brain,Alzheimer disease,81358,0.14%,Alzheimer disease,LINC01609,2.478700823,0.405403766,15429
brain,Alzheimer disease,81358,0.04%,Alzheimer disease,PHYHIP,1.988804347,0.220130761,3983
brain,Alzheimer disease,81358,0.05%,Alzheimer disease,RP11-745L13.2,1.903724357,0.187954523,5327
brain,normal,562286,0.32%,normal,SLC26A3,2.169428178,0.28844054,34889
brain,normal,562286,0.44%,normal,RASGEF1B,2.597632755,0.450382405,48880
brain,normal,562286,0.10%,normal,RP11-701H24.9,1.84000686,0.163857325,10717
brain,normal,562286,0.02%,normal,LINGO3,2.101600282,0.262788838,1945
brain,normal,562286,1.12%,normal,PDE4DIP,1.954637219,0.20720916,123587
brain,normal,562286,0.03%,normal,AC159540.1,1.911767864,0.190996482,2901
brain,normal,562286,0.01%,normal,RP11-289H16.1,1.874068133,0.176738893,1016
brain,normal,562286,0.02%,normal,RP11-219A15.1,1.876216757,0.177551477,1794
brain,normal,562286,0.01%,normal,LINC01609,2.283697826,0.331655958,1217
brain,normal,562286,0.09%,normal,PHYHIP,1.867844315,0.174385119,10149
brain,normal,562286,0.02%,normal,RP11-745L13.2,1.924534758,0.195824769,2717
brain,Alzheimer disease,24480,0.12%,Alzheimer disease,SLC26A3,2.582576708,0.444688387,13399
brain,Alzheimer disease,24480,0.17%,Alzheimer disease,RASGEF1B,3.160377988,0.663205941,18744
brain,Alzheimer disease,24480,0.04%,Alzheimer disease,RP11-701H24.9,1.83662501,0.16257835,4838
brain,Alzheimer disease,24480,0.00%,Alzheimer disease,LINGO3,2.0260491,0.234216282,13
brain,Alzheimer disease,24480,0.16%,Alzheimer disease,PDE4DIP,2.494440026,0.411356145,18233
brain,Alzheimer disease,24480,0.02%,Alzheimer disease,AC159540.1,1.901934247,0.187277525,2033
brain,Alzheimer disease,24480,0.01%,Alzheimer disease,RP11-289H16.1,1.913255512,0.191559092,1254
brain,Alzheimer disease,24480,0.02%,Alzheimer disease,RP11-219A15.1,1.867578808,0.174284708,2573
brain,Alzheimer disease,24480,0.05%,Alzheimer disease,LINC01609,2.475216454,0.404086019,6042
brain,Alzheimer disease,24480,0.01%,Alzheimer disease,PHYHIP,2.044976208,0.241374289,1357
brain,Alzheimer disease,24480,0.02%,Alzheimer disease,RP11-745L13.2,1.894190912,0.184349088,2109
brain,normal,11594,0.00%,normal,SLC26A3,1.91859384,0.193577984,88
brain,normal,11594,0.00%,normal,RASGEF1B,2.067173601,0.249769078,339
brain,normal,11594,,normal,RP11-701H24.9,,,
brain,normal,11594,0.00%,normal,LINGO3,1.927096558,0.196793611,15
brain,normal,11594,0.02%,normal,PDE4DIP,1.853218662,0.168853871,1858
brain,normal,11594,0.00%,normal,AC159540.1,1.727385544,0.121265287,41
brain,normal,11594,0.00%,normal,RP11-289H16.1,1.813761439,0.15393162,28
brain,normal,11594,0.00%,normal,RP11-219A15.1,1.513354063,0.040321133,2
brain,normal,11594,0.00%,normal,LINC01609,1.8844555,0.180667271,37
brain,normal,11594,0.00%,normal,PHYHIP,1.722606587,0.119457942,53
brain,normal,11594,0.00%,normal,RP11-745L13.2,1.789397009,0.144717284,29
brain,normal,332,0.00%,normal,SLC26A3,1.933786392,0.199323626,4
brain,normal,332,0.00%,normal,RASGEF1B,2.512177229,0.418064144,4
brain,normal,332,,normal,RP11-701H24.9,,,
brain,normal,332,,normal,LINGO3,,,
brain,normal,332,0.00%,normal,PDE4DIP,1.716469193,0.117136853,20
brain,normal,332,0.00%,normal,AC159540.1,1.667384863,0.098573745,16
brain,normal,332,0.00%,normal,RP11-289H16.1,1.585395098,0.067566193,8
brain,normal,332,,normal,RP11-219A15.1,,,
brain,normal,332,0.00%,normal,LINC01609,1.74093461,0.126389382,4
brain,normal,332,,normal,PHYHIP,,,
brain,normal,332,0.00%,normal,RP11-745L13.2,1.482965946,0.028828709,1
brain,Alzheimer disease,8969,0.07%,Alzheimer disease,SLC26A3,2.881707934,0.55781625,7324
brain,Alzheimer disease,8969,0.08%,Alzheimer disease,RASGEF1B,3.94456243,0.959775146,8895
brain,Alzheimer disease,8969,0.01%,Alzheimer disease,RP11-701H24.9,1.997923787,0.223579624,1200
brain,Alzheimer disease,8969,0.00%,Alzheimer disease,LINGO3,2.338059562,0.352214918,7
brain,Alzheimer disease,8969,0.05%,Alzheimer disease,PDE4DIP,2.456264309,0.396918544,5460
brain,Alzheimer disease,8969,0.01%,Alzheimer disease,AC159540.1,2.013007251,0.229284011,722
brain,Alzheimer disease,8969,0.01%,Alzheimer disease,RP11-289H16.1,2.007501221,0.227201695,680
brain,Alzheimer disease,8969,0.01%,Alzheimer disease,RP11-219A15.1,1.979991927,0.216798008,831
brain,Alzheimer disease,8969,0.05%,Alzheimer disease,LINC01609,2.507259303,0.416204243,5709
brain,Alzheimer disease,8969,0.01%,Alzheimer disease,PHYHIP,2.180713227,0.292708411,653
brain,Alzheimer disease,8969,0.01%,Alzheimer disease,RP11-745L13.2,1.991378662,0.221104336,1000
brain,normal,901,0.01%,normal,SLC26A3,3.314959025,0.721666646,776
brain,normal,901,0.01%,normal,RASGEF1B,4.03754536,0.994940182,873
brain,normal,901,0.00%,normal,RP11-701H24.9,2.459054681,0.39797383,79
brain,normal,901,0.00%,normal,LINGO3,1.620407581,0.080807497,1
brain,normal,901,0.00%,normal,PDE4DIP,2.655717989,0.472349548,328
brain,normal,901,0.00%,normal,AC159540.1,2.464689147,0.400104717,106
brain,normal,901,0.00%,normal,RP11-289H16.1,2.397830747,0.374819668,53
brain,normal,901,0.00%,normal,RP11-219A15.1,2.352624644,0.357723259,69
brain,normal,901,0.00%,normal,LINC01609,2.89104446,0.561347213,486
brain,normal,901,0.00%,normal,PHYHIP,2.527087784,0.423703138,160
brain,normal,901,0.00%,normal,RP11-745L13.2,2.317213895,0.344331336,57
brain,normal,96751,0.08%,normal,SLC26A3,2.20897547,0.303396854,9212
brain,normal,96751,0.12%,normal,RASGEF1B,2.449753299,0.394456158,13519
brain,normal,96751,0.01%,normal,RP11-701H24.9,2.132702145,0.274551192,1365
brain,normal,96751,0.01%,normal,LINGO3,1.832824707,0.161141121,1132
brain,normal,96751,0.09%,normal,PDE4DIP,1.970658648,0.213268274,9661
brain,normal,96751,0.01%,normal,AC159540.1,1.794246624,0.14655135,1311
brain,normal,96751,0.02%,normal,RP11-289H16.1,1.777881716,0.140362337,1882
brain,normal,96751,0.00%,normal,RP11-219A15.1,1.888020242,0.182015414,516
brain,normal,96751,0.00%,normal,LINC01609,2.137795388,0.276477396,333
brain,normal,96751,0.03%,normal,PHYHIP,1.988714419,0.220096751,3349
brain,normal,96751,0.01%,normal,RP11-745L13.2,1.8166162,0.155011257,889
brain,Alzheimer disease,24807,0.04%,Alzheimer disease,SLC26A3,2.641845703,0.467103214,4960
brain,Alzheimer disease,24807,0.07%,Alzheimer disease,RASGEF1B,3.14707527,0.658175012,7761
brain,Alzheimer disease,24807,0.01%,Alzheimer disease,RP11-701H24.9,1.878377437,0.17836862,1027
brain,Alzheimer disease,24807,0.00%,Alzheimer disease,LINGO3,1.831488141,0.160635647,59
brain,Alzheimer disease,24807,0.02%,Alzheimer disease,PDE4DIP,2.000284629,0.224472467,2623
brain,Alzheimer disease,24807,0.01%,Alzheimer disease,AC159540.1,1.963839259,0.210689262,1049
brain,Alzheimer disease,24807,0.01%,Alzheimer disease,RP11-289H16.1,2.227111093,0.31025553,1603
brain,Alzheimer disease,24807,0.01%,Alzheimer disease,RP11-219A15.1,1.911264811,0.190806233,1291
brain,Alzheimer disease,24807,0.02%,Alzheimer disease,LINC01609,2.638202846,0.46572553,2384
brain,Alzheimer disease,24807,0.00%,Alzheimer disease,PHYHIP,2.068698355,0.250345722,520
brain,Alzheimer disease,24807,0.01%,Alzheimer disease,RP11-745L13.2,1.992345889,0.22147013,726
brain,Alzheimer disease,3996,0.03%,Alzheimer disease,SLC26A3,2.988442779,0.598182096,3041
brain,Alzheimer disease,3996,0.04%,Alzheimer disease,RASGEF1B,4.050924466,1,3914
brain,Alzheimer disease,3996,0.00%,Alzheimer disease,RP11-701H24.9,2.202804346,0.301063009,209
brain,Alzheimer disease,3996,0.00%,Alzheimer disease,LINGO3,1.999860191,0.224311949,5
brain,Alzheimer disease,3996,0.01%,Alzheimer disease,PDE4DIP,2.289854658,0.333984399,752
brain,Alzheimer disease,3996,0.00%,Alzheimer disease,AC159540.1,2.207367041,0.302788565,313
brain,Alzheimer disease,3996,0.01%,Alzheimer disease,RP11-289H16.1,2.397081089,0.374536156,1092
brain,Alzheimer disease,3996,0.00%,Alzheimer disease,RP11-219A15.1,2.197892623,0.299205453,220
brain,Alzheimer disease,3996,0.02%,Alzheimer disease,LINC01609,2.662294782,0.474836812,2307
brain,Alzheimer disease,3996,0.00%,Alzheimer disease,PHYHIP,2.242574219,0.3161035,250
brain,Alzheimer disease,3996,0.00%,Alzheimer disease,RP11-745L13.2,2.228277172,0.310696528,279
brain,normal,233,0.00%,normal,SLC26A3,3.037071922,0.616573057,176
brain,normal,233,0.00%,normal,RASGEF1B,3.955826823,0.964035205,225
brain,normal,233,0.00%,normal,RP11-701H24.9,2.402661218,0.376646494,18
brain,normal,233,,normal,LINGO3,,,
brain,normal,233,0.00%,normal,PDE4DIP,2.468279811,0.401462664,35
brain,normal,233,0.00%,normal,AC159540.1,2.452970556,0.395672886,37
brain,normal,233,0.00%,normal,RP11-289H16.1,2.305916234,0.340058695,19
brain,normal,233,0.00%,normal,RP11-219A15.1,2.394462585,0.373545869,15
brain,normal,233,0.00%,normal,LINC01609,2.771224563,0.516032757,111
brain,normal,233,0.00%,normal,PHYHIP,2.545638766,0.430718898,56
brain,normal,233,0.00%,normal,RP11-745L13.2,2.302087701,0.338610789,23
brain,normal,30215,0.00%,normal,SLC26A3,2.186998494,0.295085424,30
brain,normal,30215,0.05%,normal,RASGEF1B,2.459876701,0.398284708,5414
brain,normal,30215,0.00%,normal,RP11-701H24.9,2.036417431,0.238137462,9
brain,normal,30215,0.00%,normal,LINGO3,2.153212345,0.282307905,132
brain,normal,30215,0.00%,normal,PDE4DIP,1.675590887,0.101677165,41
brain,normal,30215,0.00%,normal,AC159540.1,2.167804253,0.287826391,205
brain,normal,30215,0.00%,normal,RP11-289H16.1,1.623271806,0.081890713,7
brain,normal,30215,0.00%,normal,RP11-219A15.1,2.186245388,0.294800608,9
brain,normal,30215,0.00%,normal,LINC01609,2.103935242,0.263671892,16
brain,normal,30215,0.00%,normal,PHYHIP,2.180925257,0.292788598,136
brain,normal,30215,0.00%,normal,RP11-745L13.2,2.174137846,0.29022168,141
brain,normal,540,0.00%,normal,SLC26A3,2.092006111,0.259160437,20
brain,normal,540,0.00%,normal,RASGEF1B,2.199395553,0.299773844,92
brain,normal,540,0.00%,normal,RP11-701H24.9,2.036417431,0.238137462,9
brain,normal,540,0.00%,normal,LINGO3,1.631515384,0.085008335,8
brain,normal,540,0.00%,normal,PDE4DIP,1.675590887,0.101677165,41
brain,normal,540,0.00%,normal,AC159540.1,1.729459322,0.122049565,39
brain,normal,540,0.00%,normal,RP11-289H16.1,1.623271806,0.081890713,7
brain,normal,540,0.00%,normal,RP11-219A15.1,2.186245388,0.294800608,9
brain,normal,540,,normal,LINC01609,,,
brain,normal,540,0.00%,normal,PHYHIP,1.466745377,0.022694283,3
brain,normal,540,0.00%,normal,RP11-745L13.2,1.681104422,0.103762318,2
brain,normal,3750,0.00%,normal,SLC26A3,1.859553282,0.171249549,329
brain,normal,3750,0.00%,normal,RASGEF1B,1.618562865,0.080109847,103
brain,normal,3750,,normal,RP11-701H24.9,,,
brain,normal,3750,0.00%,normal,LINGO3,1.703533519,0.112244736,11
brain,normal,3750,0.00%,normal,PDE4DIP,1.645076396,0.090136948,75
brain,normal,3750,0.00%,normal,AC159540.1,1.578564803,0.064983057,24
brain,normal,3750,0.00%,normal,RP11-289H16.1,1.498866081,0.034841951,8
brain,normal,3750,0.00%,normal,RP11-219A15.1,2.131727934,0.274182757,1
brain,normal,3750,0.00%,normal,LINC01609,1.571863447,0.062448684,7
brain,normal,3750,0.00%,normal,PHYHIP,1.656670604,0.09452174,85
brain,normal,3750,0.00%,normal,RP11-745L13.2,1.593862534,0.070768476,9
brain,normal,186617,0.09%,normal,SLC26A3,2.192766083,0.297266657,9560
brain,normal,186617,0.17%,normal,RASGEF1B,2.286678841,0.332783342,18636
